                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78275,                0.73069,                 1.0557,                0.83905,                0.59212,                0.71013,                0.51035,                 1.1453,                 1.0579,                 1.2781,             0.00060303,             0.00060303,             0.00060303
                     36,                0.76135,                0.71289,                 1.0497,                0.72982,                0.62926,                 0.7347,                0.52623,                 1.1395,                0.94204,                 1.2757,             0.00059403,             0.00059403,             0.00059403
                     37,                0.73977,                 0.6994,                 1.0531,                0.83196,                0.58403,                0.74703,                0.55572,                 1.0892,                 1.0095,                   1.25,             0.00058503,             0.00058503,             0.00058503
                     38,                0.73757,                0.65961,                 1.0294,                0.82075,                0.61266,                0.75182,                0.55291,                 1.1166,                0.99927,                 1.2614,             0.00057603,             0.00057603,             0.00057603
                     39,                  0.743,                0.68573,                 1.0398,                0.78988,                0.60379,                0.75639,                0.53813,                 1.0721,                0.96143,                 1.2031,             0.00056703,             0.00056703,             0.00056703
                     40,                 0.7106,                0.66744,                 1.0296,                0.75287,                0.55473,                 0.7072,                0.50636,                 1.0581,                0.95179,                 1.2236,             0.00055804,             0.00055804,             0.00055804
                     41,                0.73985,                0.66331,                 1.0333,                0.74369,                0.58634,                0.71532,                 0.5287,                  1.033,                0.93648,                 1.2107,             0.00054904,             0.00054904,             0.00054904
                     42,                0.70076,                0.69077,                 1.0318,                0.68171,                0.67329,                0.72706,                0.52296,                 1.0527,                  0.916,                  1.204,             0.00054004,             0.00054004,             0.00054004
                     43,                0.67745,                0.58948,                 1.0034,                0.76261,                0.65211,                0.76383,                0.58057,                 1.0637,                 0.8923,                 1.2241,             0.00053104,             0.00053104,             0.00053104
                     44,                0.67896,                0.62399,                 1.0029,                0.85077,                0.59355,                 0.7465,                0.55464,                 1.0848,                0.92441,                 1.2359,             0.00052204,             0.00052204,             0.00052204
                     45,                0.65161,                0.57897,                0.99357,                 0.7515,                0.68325,                0.76588,                0.55759,                 1.0916,                0.90993,                 1.2208,             0.00051304,             0.00051304,             0.00051304
                     46,                0.68817,                0.64258,                 1.0137,                0.74423,                0.70368,                0.75743,                0.56629,                 1.0435,                0.87263,                 1.1909,             0.00050404,             0.00050404,             0.00050404
                     47,                0.67492,                0.60272,                 1.0065,                0.68497,                   0.73,                0.74243,                0.54726,                 1.0868,                0.88197,                  1.217,             0.00049504,             0.00049504,             0.00049504
                     48,                0.65821,                0.59897,                0.99277,                0.72116,                0.74177,                0.77024,                0.57052,                 1.0545,                0.89692,                 1.2108,             0.00048604,             0.00048604,             0.00048604
                     49,                0.66388,                0.60199,                0.99971,                0.76745,                0.74153,                0.80278,                0.60172,                  1.012,                0.80943,                 1.1845,             0.00047704,             0.00047704,             0.00047704
                     50,                0.60229,                0.56669,                0.99034,                0.80463,                0.70347,                0.75709,                0.56445,                0.99559,                 0.8246,                 1.1723,             0.00046804,             0.00046804,             0.00046804
                     51,                0.60798,                0.57249,                0.97822,                0.86548,                0.69597,                0.78159,                0.59539,                0.97483,                0.76368,                 1.1535,             0.00045904,             0.00045904,             0.00045904
                     52,                  0.627,                0.58072,                0.99767,                0.78657,                0.70594,                0.79122,                0.59976,                0.97005,                0.74777,                 1.1517,             0.00045005,             0.00045005,             0.00045005
                     53,                0.63751,                0.57726,                0.99828,                0.70461,                 0.7554,                 0.7827,                0.58902,                0.99777,                0.80816,                 1.1813,             0.00044105,             0.00044105,             0.00044105
                     54,                0.62171,                0.53423,                0.96778,                0.77905,                0.66434,                0.77479,                0.58148,                 1.0048,                 0.8547,                 1.1781,             0.00043205,             0.00043205,             0.00043205
                     55,                0.62722,                0.58619,                0.98378,                0.68065,                0.68614,                0.74576,                 0.5575,                0.99662,                0.91023,                 1.1713,             0.00042305,             0.00042305,             0.00042305
                     56,                0.59919,                0.53784,                0.96609,                0.75545,                0.66471,                0.79102,                0.59219,                 1.0134,                0.87194,                  1.184,             0.00041405,             0.00041405,             0.00041405
                     57,                0.60037,                0.53704,                0.98648,                0.77243,                0.62763,                0.78037,                0.58852,                 1.0301,                 0.8914,                 1.1908,             0.00040505,             0.00040505,             0.00040505
                     58,                0.58542,                0.53922,                 0.9584,                0.80699,                0.66828,                0.77915,                0.58779,                 1.0163,                0.86836,                 1.1755,             0.00039605,             0.00039605,             0.00039605
                     59,                0.55039,                0.51073,                0.95235,                0.80683,                0.68027,                0.79611,                0.59703,                0.99506,                0.83047,                 1.1633,             0.00038705,             0.00038705,             0.00038705
                     60,                 0.5445,                0.48516,                0.95265,                0.79135,                0.72012,                0.81633,                0.61353,                0.98948,                  0.797,                 1.1782,             0.00037805,             0.00037805,             0.00037805
                     61,                0.58855,                0.54362,                0.95977,                 0.7561,                0.72978,                0.79717,                 0.5926,                 1.0172,                 0.7916,                 1.2082,             0.00036905,             0.00036905,             0.00036905
                     62,                0.54685,                0.48502,                0.93955,                0.74364,                0.66304,                0.77772,                0.57397,                 1.0252,                0.83629,                 1.2102,             0.00036005,             0.00036005,             0.00036005
                     63,                0.53537,                0.50068,                  0.951,                0.75275,                0.64838,                0.76087,                0.55947,                 1.0111,                0.84587,                 1.1738,             0.00035106,             0.00035106,             0.00035106
                     64,                0.51308,                0.43913,                0.93482,                0.72519,                 0.6476,                0.75826,                0.57057,                0.98315,                0.86321,                 1.1672,             0.00034206,             0.00034206,             0.00034206
                     65,                0.50812,                0.45683,                0.93461,                0.68836,                0.67998,                0.76404,                0.57177,                0.98985,                0.84931,                 1.1636,             0.00033306,             0.00033306,             0.00033306
                     66,                0.50397,                0.45527,                0.93698,                0.74784,                0.65044,                0.76637,                0.56159,                 1.0197,                0.84163,                  1.215,             0.00032406,             0.00032406,             0.00032406
                     67,                0.52871,                0.48644,                0.95142,                0.66864,                0.69697,                0.76773,                0.58059,                 1.0023,                0.83214,                  1.185,             0.00031506,             0.00031506,             0.00031506
                     68,                0.56044,                0.51123,                0.95753,                0.79254,                0.67692,                0.80898,                0.61932,                0.99318,                0.76566,                 1.1887,             0.00030606,             0.00030606,             0.00030606
                     69,                0.53161,                0.49551,                0.94651,                 0.7779,                0.72193,                0.82314,                0.61995,                0.99093,                0.75892,                 1.1863,             0.00029706,             0.00029706,             0.00029706
                     70,                0.52133,                 0.4798,                0.94439,                0.85231,                0.63924,                0.81189,                0.60792,                0.98576,                0.76185,                 1.1819,             0.00028806,             0.00028806,             0.00028806
                     71,                0.51267,                0.47362,                0.93936,                0.86108,                0.73129,                0.83156,                0.62505,                0.96184,                 0.7376,                 1.1671,             0.00027906,             0.00027906,             0.00027906
                     72,                0.48535,                 0.4437,                0.93032,                0.86503,                0.71705,                0.83082,                0.63281,                0.96216,                0.76381,                 1.1544,             0.00027006,             0.00027006,             0.00027006
